class_id,car_length,car_width,car_height,rated_passenger
289403,4440,1833,1545,5
745137,4534,1823,1483,5
714860,4720,1815,1465,5
175962,4475,1706,1469,5
270690,4415,1685,1850,5
290854,4585,1820,1685,5
692703,4510,1852,1677,5
978089,4425,1789,1470,5
219195,4335,1814,1695,5
851857,4812,1903,1680,5
304458,4630,1775,1480,5
349023,4567,1786,1456,5
281792,4319,1785,1441,5
510309,4661,1898,1664,5
379876,4590,1820,1488,5
750340,4530,1900,1700,5
576298,5055,1695,1960,8-Jul
347384,4600,1780,1445,5
354068,4631,1760,1503,5
416749,4270,1772,1605,5
125403,5266,1878,1772,7
409854,4649,1852,1710,5
786351,4570,1775,1445,5
281301,4872,1834,1484,5
654134,4620,1820,1750,5
379876,4558,1805,1505,5
745137,4368,1823,1483,5
425432,4605,1765,1460,5
871642,4524,1838,1695,5
416749,4270,1772,1605,5
349023,4666,1807,1460,5
576298,4715,1720,1950,8-Jul
559132,4891,1830,1490,5
290854,4585,1820,1685,5
819061,4450,1855,1635,5
482497,4629,1898,1655,5
614059,4783,1810,1442,5
527809,5065,1860,1467,5
472603,4750,1820,1488,5
124140,4650,1850,1695,5
472603,4750,1820,1488,5
291514,4160,1810,1635,5
692703,4510,1852,1677,5
693436,4725,1802,1478,5
649213,4730,1824,1426,5
854079,4664,1750,1505,5
453752,4760,1811,1455,5
587678,4294,1772,1605,5
745137,4534,1823,1483,5
924154,4587,1825,1490,5
628041,4255,1799,1452,5
437598,4549,1835,1700,5
378356,4572,1825,1482,5
209945,5055,1860,1491,5
732758,4565,1821,1624,5
290854,4585,1820,1685,5
124140,4650,1850,1695,5
745137,4534,1823,1483,5
245609,4348,1807,1574,5
125403,5213,1847,1750,7
356986,4860,1854,1480,5
347384,4600,1780,1445,5
905745,4278,1781,1648,5
510309,4661,1898,1664,5
472603,4750,1820,1488,5
654134,4620,1820,1750,5
290854,4585,1820,1685,5
540712,4519,1831,1694,5
628041,4255,1799,1452,5
265980,4360,1685,1820,8-Jul
103507,4270,1780,1630,5
516750,4530,1721,1730,8-Jul
654134,4620,1820,1750,5
412240,4680,1800,1750,7
591790,4630,1775,1480,5
350259,4598,1826,1425,5
713651,4649,1800,1416,5
671482,4280,1785,1658,5
871642,4524,1838,1701,5
905745,4278,1781,1648,5
221795,4398,1841,1591,5
209945,5055,1860,1491,5
510309,4661,1898,1664,5
540712,4519,1831,1694,5
692703,4510,1852,1677,5
492952,4683,1780,1465,5
786351,4570,1775,1445,5
580634,4393,1766,1524,5
496459,4420,1760,1670,5
321683,4655,1780,1453,5
714152,4506,1809,1685,5
871642,4524,1838,1685,5
735971,4587,1798,1463,5
290854,4585,1820,1685,5
693436,4725,1802,1478,5
